"Position","Rep","HOBO","Y","X","nov19_meantemp","nov19_maxtemp","nov19_mintemp","jun19_meantemp","jun19_maxtemp","jun19_mintemp"
"TRL",1,20907955,57.1141,-3.837383333,2.08242344856262,4.7790994644165,0.211921200156212,7.92681789398193,11.33873462677,4.46572113037109
"TRL",2,20907928,57.11343333,-3.83565,2.21231484413147,5.63235855102539,-0.0570998936891556,7.88262939453125,11.3425159454346,4.36668109893799
"INT",1,20907920,57.11456667,-3.835483333,1.71437120437622,3.95673274993896,0.128895878791809,7.61596632003784,10.861421585083,4.20515823364258
"INT",2,20907927,57.11363333,-3.832916667,1.71697413921356,4.4261040687561,-0.17470183968544,7.55491781234741,10.9086589813232,4.08308696746826
"SUMX",1,NA,57.11635,-3.832116667,1.39167606830597,3.2404568195343,-0.0708660706877708,7.14216995239258,9.99554347991943,3.88900566101074
"SUM",1,20907926,57.1156,-3.831783333,1.33720397949219,3.21440601348877,-0.131703987717628,7.10076761245728,9.99576377868652,3.83193421363831
"SUMX",2,NA,57.1141,-3.830316667,1.3377697467804,3.465172290802,-0.140572309494019,7.12481451034546,10.0989665985107,3.83941864967346
"SUM",2,20907917,57.11353333,-3.829466667,1.29738068580627,3.22783589363098,-0.137584492564201,7.10272073745728,10.0291223526001,3.82591843605042
"INTX",1,NA,57.1143,-3.816733333,0.976982951164246,2.80417943000793,-0.475555866956711,6.7490816116333,9.5274829864502,3.5046112537384
"INTX",2,NA,57.11443333,-3.836316667,1.81140446662903,4.17130565643311,0.167477488517761,7.73098134994507,11.0856599807739,4.28772449493408
"TRLX",1,NA,57.11331667,-3.837183333,2.43636512756348,5.86101531982422,0.139126241207123,8.0774393081665,11.5330877304077,4.56672143936157
"TRLX",2,NA,57.11293333,-3.836816667,2.45076894760132,5.74002504348755,0.222259774804115,8.13248920440674,11.536452293396,4.63432312011719
