Site,Subplot,Core_ID,DOY,Depth Increment,Depth_Type,Scanned,Overall Wet Weight (g),Volume (cm3(,Depth Wet Weight (g),HALVED Wet Weight,Subsection Wet Weight (g),Wet weight bulk density,Cage Weight (g),Subsection Dried Weight (g),sub_scaled,scaled_dry,Root Dry Biomass Total (g),dry_bulkdensity,rootmass_bulkdensity,Black_branch_biomass,Brown_branch_biomass,Sticky_biomass,Stringy_biomass,Branched_Biomass,Dead_biomass,Thick_biomass,White_branched_biomass,Seed_biomass,Fine_branched_biomass,Moss_biomass,Skinny_white_biomass,White_Skinny,Big_Brown,Big_Branched,Sprout,Chunky_white_Branched,Yellow_Branched,Thicker_orangey branched,White_chunky,Chunky orange branched,flat,Flat_branched,thicker_branched,Black_Chunky,light branched,woody_branched
Kluane,C,P1,173,0-5,Top,Y,414.54,192.417,190.1,NA,6.53,0.927412859,11.65,0.64,0.098009188,17.48973966,0.0072,0.090894982,0.079212294,0,0,0,0.0001,0.0028,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,C,P1,173,5-10,Bottom,Y,414.54,192.417,210.43,NA,6.53,0.996637511,18.66,0.64,0.098009188,18.79522205,0.0412,0.097679634,0.421787004,0,0,0,0,0.0275,0,0,0,0,0,0,0,0,0,0.0137,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P2,208,0-5,Top,Y,402.69,192.417,59.54,NA,7.05,0.270194422,7.55,3.48,0.493617021,25.66314894,0.0144,0.133372566,0.107968231,0,0.0014,0,0,0,0.0111,0.0006,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P2,208,5-15,Middle,Y,402.69,384.834,185.02,NA,7.05,0.445464798,13.59,3.48,0.493617021,84.62076596,0.0112,0.219889007,0.050934788,0.0058,0.0011,0,0.0018,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P2,208,15-20,Bottom,Y,402.69,192.417,112.89,NA,7.05,0.513052381,14.17,3.48,0.493617021,48.72987234,0.0012,0.253251388,0.004738375,0,0,0,0.0004,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,225,0-5,Top,Y,686.1,192.417,74.69,NA,5.15,0.339107251,9.44,1.52,0.295145631,19.25825243,0.002,0.100086024,0.01998281,0,0,0,0.0001,0.0009,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,225,5-15,Middle,Y,686.1,384.834,210.4,NA,5.15,0.506971837,15.3,1.52,0.295145631,57.58291262,0.0042,0.149630523,0.028069139,0,0,0,0.0006,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,225,15-25,Middle2,Y,686.1,384.834,223.73,NA,5.15,0.540258917,15.82,1.52,0.295145631,61.36372816,0.005,0.159455059,0.031356798,0,0,0,0,0.0006,0,0.0038,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,225,25-30,Bottom,Y,686.1,192.417,93.66,NA,5.15,0.311043203,33.81,1.52,0.295145631,17.66446602,0.0036,0.091803042,0.039214387,0,0,0,0.0001,0.0014,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,D,P1,173,0-5,Top,Y,322.76,192.417,159.62,NA,4.17,0.71859555,21.35,0.62,0.148681055,20.5581295,0.0006,0.106841545,0.005615793,0,0,0,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,D,P1,173,5-10,Bottom,Y,322.76,192.417,150.66,NA,4.17,0.712463036,13.57,0.62,0.148681055,20.38268585,0.002,0.105929756,0.018880436,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P2,208,0-5,Top,Y,351.48,192.417,61.27,NA,6.89,0.274196147,8.51,2.95,0.428156749,22.58955007,0.0155,0.117398931,0.13202846,0,0,0,0.0011,0.0141,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P2,208,5-15,Middle,Y,351.48,384.834,163.13,NA,6.89,0.389544583,13.22,2.95,0.428156749,64.18497823,0.0073,0.166786142,0.043768624,0,0,0,0.0007,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P2,208,15-20,Bottom,Y,351.48,192.417,83.72,NA,6.89,0.377617362,11.06,2.95,0.428156749,31.10986938,0.0133,0.161679422,0.082261551,0,0,0,0.0005,0.0091,0.003,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,225,0-5,Top,Y,726.15,192.417,67.52,NA,5.59,0.301012904,9.6,1.41,0.252236136,14.60951699,0.0016,0.075926332,0.021073058,0,0,0,0.0004,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,225,5-15,Middle,Y,726.15,384.834,232.58,NA,5.59,0.558760401,17.55,1.41,0.252236136,54.23833631,0.0026,0.140939564,0.018447623,0,0,0,0.0001,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,225,15-25,Middle2,Y,726.15,384.834,222.43,NA,5.59,0.534750048,16.64,1.41,0.252236136,51.90767442,0.0022,0.134883286,0.016310397,0,0,0.0016,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,225,25-30,Bottom,Y,726.15,192.417,151.65,NA,5.59,0.699678303,17.02,1.41,0.252236136,33.95855098,0.0056,0.176484152,0.031730895,0,0,0,0.0007,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,E,P1,173,0-5,Top,Y,265.53,192.417,73.41,NA,5.49,0.273468561,20.79,1.19,0.216757741,11.40579235,0.0018,0.059276428,0.030366202,0,0,0,0.0001,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,E,P1,173,5-10,Bottom,Y,265.53,192.417,157.58,NA,5.49,0.712151213,20.55,1.19,0.216757741,29.7023133,0.0053,0.154364288,0.034334366,0,0,0,0.0012,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P2,208,0-5,Top,Y,149.61,192.417,11.25,NA,2.42,0.010446062,9.24,1.55,0.640495868,1.287396694,0.0001,0.00669066,0.014946209,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P2,208,5-15,Middle,Y,149.61,384.834,56.11,NA,2.42,0.10737097,14.79,1.55,0.640495868,26.46528926,0.0021,0.068770663,0.030536277,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P2,208,15-20,Bottom,Y,149.61,192.417,45.24,NA,2.42,0.17508848,11.55,1.55,0.640495868,21.57830579,0.0011,0.112143448,0.009808866,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,225,0-5,Top,Y,806.54,192.417,110.52,NA,5.61,0.524641794,9.57,1.16,0.206773619,20.87379679,0.009,0.108482082,0.082963009,0,0,0,0.0001,0.0039,0,0,0.0049,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,225,5-15,Middle,Y,806.54,384.834,259.2,NA,5.61,0.634247494,15.12,1.16,0.206773619,50.46930481,0.0811,0.131145649,0.61839642,0,0,0.0285,0.001,0.0116,0,0,0.0113,0,0,0,0,0.0001,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,225,15-25,Middle2,Y,806.54,384.834,262.65,NA,5.61,0.64347225,15.02,1.16,0.206773619,51.20335116,0.0061,0.133053086,0.045846363,0,0,0,0.0004,0.0051,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,225,25-30,Bottom,Y,806.54,192.417,114.53,NA,5.61,0.428652354,32.05,1.16,0.206773619,17.05468806,0.0071,0.088633998,0.080104702,0,0,0,0.0006,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P1,127,0-5,Top,Y,285.51,192.417,93.26,47.55,5.01,0.449336597,8.64,1.51,0.301397206,14.33143713,0.00001,0.135428795,7.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P1,127,5-15,Bottom,Y,285.51,384.834,191.14,90.53,5.01,0.424702599,17.62,1.51,0.301397206,27.28548902,0.00002,0.128004177,0.000156245,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P2,311,0-5,Top,Y,330.21,192.417,50.69,NA,5.63,0.228670024,6.69,2.24,0.397868561,17.5062167,0.0001,0.090980613,0.001099135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P2,311,5-15,Middle,Y,330.21,384.834,135.79,NA,5.63,0.315070914,14.54,2.24,0.397868561,48.24156306,0.0429,0.125356811,0.342223128,0,0,0,0,0,0,0,0.0393,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR1,P2,311,15-25,Bottom,Y,330.21,192.417,110.1,NA,5.63,0.511701149,11.64,2.24,0.397868561,39.17413854,0.0629,0.2035898,0.308954574,0,0,0,0,0,0,0,0.0582,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR2,P1,127,0-5,Top,Y,177.56,192.417,74.61,36.58,5.52,0.332403062,9.2,2.61,0.472826087,17.29597826,0.00021,0.157168839,0.001336143,0,0,0,0.00001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR2,P1,127,5-12.5,Bottom,Y,177.56,288.634,102.69,41.57,5.52,0.237636592,14.55,2.61,0.472826087,19.65538043,0,0.11236078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,TR2,P2,311,0-5,Top,Y,316.28,192.417,72.59,31.55,4.52,0.282303539,8.78,1.79,0.396017699,12.49435841,0.017,0.111797198,0.152061056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077,0.0093,0,0,0,0,0,0,0,0
Cairngorms,TR2,P2,311,5-15,Middle,Y,316.28,384.834,169.1,74.69,4.52,0.352749497,13.63,1.79,0.396017699,29.57856195,0.0694,0.139695044,0.496796435,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0.0401,0.0275,0.0006,0,0,0,0,0,0,0
Cairngorms,TR2,P2,311,15-25,Bottom,Y,316.28,153.938,75.4,31.57,4.52,0.36794034,6.5,1.79,0.396017699,12.50227876,0.0438,0.145710887,0.300595247,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0259,0.0171,0,0,0,0,0,0,0,0
Cairngorms,INT1,P1,127,0-5,Top,Y,139.56,192.417,69.79,34.51,4.51,0.306677684,10.01,2.1,0.465631929,16.06895787,0,0.142798922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,INT1,P1,127,5-15,Bottom,Y,139.56,153.938,67.18,31.42,4.51,0.357676467,7.78,2.1,0.465631929,14.63015521,0.00031,0.166545583,0.001861352,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
Cairngorms,INT1,P2,311,0-5,Top,Y,287.53,192.417,80.59,36.5,4.67,0.334845674,8.57,1.61,0.344753747,12.58351178,0.0008,0.115439301,0.006930049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0007,0,0,0,0,0,0,0,0
Cairngorms,INT1,P2,311,5-15,Bottom,Y,287.53,384.834,205.63,86.22,4.67,0.397002344,19.66,1.61,0.344753747,29.72466809,0.0481,0.136868046,0.35143338,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0.0332,0.0146,0,0,0,0,0,0,0,0
Cairngorms,INT2,P2,311,0-5,Top,Y,221.58,192.417,71.35,34.5,2.52,0.324971286,6.47,1.05,0.416666667,14.375,0.006,0.135404703,0.044311607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0
Cairngorms,INT2,P2,311,5-15,Bottom,Y,221.58,423.32961,149.53,67.15,2.52,0.28127019,15.23,1.05,0.416666667,27.97916667,0.0524,0.117195913,0.447114569,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0.0234,0.0278,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P1,127,0-5,Top,Y,699.14,192.417,102.57,49.12,11.53,0.457236107,10.26,3.2,0.27753686,13.63261058,0,0.126899874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P1,127,5-15,Bottom,Y,699.14,384.834,257.49,99.72,11.53,0.46038032,22.27,3.2,0.27753686,27.67597572,0.00001,0.127772509,7.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P2,311,0-5,Top,Y,707.56,192.417,86.53,29.3,5.15,0.243741457,11.7,1.57,0.304854369,8.93223301,0.0007,0.074305648,0.009420549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P2,311,5-15,Bottom,Y,707.56,384.834,270.25,121.04,5.15,0.568868655,23.16,1.57,0.304854369,36.89957282,0.027,0.173422095,0.155689504,0,0,0,0.0015,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0247,0.0007,0,0,0,0,0,0,0,0
Cairngorms,SUM1,P2,311,15-25,Bottom,Y,707.56,192.417,348.29,125.67,5.15,1.190331416,22.3,1.57,0.304854369,38.31104854,0.0496,0.362877733,0.136685157,0,0,0,0.0128,0.0009,0,0,0,0,0,0,0,0,0,0,0.0001,0.016,0.0137,0.0061,0,0,0,0,0,0,0,0
Cairngorms,SUM2,P1,127,0-5,Top,Y,194.43,192.417,108.46,45.13,5.7,0.419297671,9.58,2.13,0.373684211,16.86436842,0.00001,0.156684919,6.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.00001,0,0,0.0015,0,0,0,0,0,0
Cairngorms,SUM2,P1,127,5-10,Bottom,Y,194.43,169.331,88.77,37.42,5.7,0.387525025,9.22,2.13,0.373684211,13.98326316,0.0018,0.144811983,0.012429911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0.0016,0,0,0,0,0,0
Cairngorms,SUM2,P2,311,0-5,Top,Y,230.12,192.417,149.56,61.42,13.29,0.582900679,10.68,3.69,0.27765237,17.05340858,0.01211,0.161843755,0.074825254,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0001,0,0,0.00001,,0.0055,0.0059,0,0,0,0,0,0,0,0
Cairngorms,SUM2,P2,311,5-10,Bottom,Y,230.12,423.32961,79.77,28.65,13.29,0.113741158,9.15,3.69,0.27765237,7.954740406,0.00801,0.031580502,0.253637513,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.0004,0,0,0,0,0.00001,0.0013,0,0,0,0,0,0,0,0
Toolik,TFS1,P1,167,0-5,Top,Y,212.76,192.417,80.25,NA,5.01,0.382866379,6.58,0.76,0.151696607,11.17548902,0.0039,0.058079531,0.067149303,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Toolik,TFS1,P1,167,5-10,Bottom,Y,212.76,192.417,131.69,NA,5.01,0.608418175,14.62,0.76,0.151696607,17.75912176,0.0009,0.092294973,0.009751344,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toolik,TFS1,P2,211,0-5,Top,Y,399.7,192.417,136.53,NA,6.67,0.667144795,8.16,0.65,0.097451274,12.50982009,0.00001,0.06501411,0.000153813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0,0,0
Toolik,TFS1,P2,211,5-15,Bottom,Y,399.7,404.08736,271.34,NA,6.67,0.620286663,20.69,0.65,0.097451274,24.42616192,0.07772,0.060447726,1.285739025,0,0,0.0078,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0.0285,0,0.0064,0.035,0,0,0,0
Toolik,TFS1,P3,246,0-5,Top,Y,897.16,192.417,170.6,NA,8.67,0.801228582,16.43,1.24,0.143021915,22.04968858,0.0741,0.114593246,0.646634969,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0.0556,0.015,0,0,0
Toolik,TFS1,P3,246,5-15,Middle,Y,897.16,384.834,266.67,NA,8.67,0.654645899,14.74,1.24,0.143021915,36.03151096,0.0293,0.09362871,0.3129382,0,0,0,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0017,0,0.0084,0,0,0,0.0105,0,0,0
Toolik,TFS1,P3,246,15-25,Middle2,Y,897.16,384.834,335.49,NA,8.67,0.817105557,21.04,1.24,0.143021915,44.97324106,0.0918,0.116864001,0.785528469,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.0278,0,0.0035,0,0,0
Toolik,TFS1,P3,246,25-30,Bottom,Y,897.16,61.57522,121.62,NA,8.67,1.430445559,33.54,1.24,0.143021915,12.59737024,0.0119,0.204585063,0.058166514,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.0114,0,0,0,0,0,0,0,0,0,0
Toolik,TFS2,P1,167,0-5,Top,Y,292.64,192.417,135.51,NA,8.58,0.649370898,10.56,1.57,0.182983683,22.86381119,0.0329,0.118824278,0.276879443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093,0.0133,0.0103,0,0,0,0,0,0,0,0,0,0,0
Toolik,TFS2,P1,167,5-10,Bottom,Y,292.64,192.417,156.7,NA,8.58,0.754403197,11.54,1.57,0.182983683,26.56191142,0.0072,0.138043475,0.052157481,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0
Toolik,TFS2,P2,211,0-5,Top,Y,588.26,192.417,149.14,NA,5.18,0.725143828,9.61,0.75,0.144787645,20.20222008,0.00961,0.104991867,0.091530899,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0.0079,0,0,0,0,0,0,0
Toolik,TFS2,P2,211,5-15,Middle,Y,588.26,384.834,285.18,NA,5.18,0.70552498,13.67,0.75,0.144787645,39.31129344,0.0383,0.1021513,0.374934043,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376,0,0,0,0,0,0,0
Toolik,TFS2,P2,211,15-20,Bottom,Y,588.26,192.417,151.49,NA,5.18,0.706954167,15.46,0.75,0.144787645,19.69546332,0.0559,0.102358229,0.546121212,0,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254,0,0,0.004,0,0.0192,0,0
Toolik,TFS2,P3,246,0-5,Top,Y,861.08,192.417,191.69,NA,5.54,0.924762365,13.75,0.61,0.110108303,19.59267148,0.00001,0.101824015,9.82087E-05,0,0,0,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toolik,TFS2,P3,246,5-15,Bottom,Y,861.08,384.834,271.21,NA,5.54,0.661661911,16.58,0.61,0.110108303,28.03687726,0.0596,0.07285447,0.818069223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596,0,0,0,0,0,0,0
Toolik,TFS2,P3,246,15-25,Middle,Y,861.08,384.834,287.7,NA,5.54,0.696690001,19.59,0.61,0.110108303,29.52113718,0.2293,0.076711354,2.98912727,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2239,0,0,0,0,0,0,0
Toolik,TFS2,P3,246,25-30,Bottom,Y,861.08,153.93804,109.13,NA,5.54,0.594459953,17.62,0.61,0.110108303,10.07601083,0.137,0.065454977,2.093041764,0,0,0,0.0008,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1109,0,0,0,0.0205,0,0,0
Toolik,TFS3,P1,167,0-5,Top,Y,241.61,192.417,106.74,NA,3.5,0.530878249,4.59,0.63,0.18,18.387,0.00251,0.095558085,0.026266747,0,0,0.0025,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toolik,TFS3,P1,167,5-9.7,Bottom,Y,241.61,180.8772,134.74,NA,3.5,0.671505309,13.28,0.63,0.18,21.8628,0.0011,0.120870956,0.009100615,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
