"Date","SerialID","mean_temp","site"
2021-05-26,"20907920",6.441875,"cairngorms"
2021-05-26,"20907926",4.30479166666667,"cairngorms"
2021-05-26,"20907927",5.82909722222222,"cairngorms"
2021-05-27,"20907917",7.8625,"cairngorms"
2021-05-27,"20907920",9.59006944444445,"cairngorms"
2021-05-27,"20907926",4.93006944444444,"cairngorms"
2021-05-27,"20907927",6.95076388888889,"cairngorms"
2021-05-28,"20907917",8.68388888888889,"cairngorms"
2021-05-28,"20907920",9.29798611111111,"cairngorms"
2021-05-28,"20907926",5.88618055555556,"cairngorms"
2021-05-28,"20907927",7.66694444444444,"cairngorms"
2021-05-29,"20907917",9.05,"cairngorms"
2021-05-29,"20907920",9.51534722222222,"cairngorms"
2021-05-29,"20907926",6.42909722222222,"cairngorms"
2021-05-29,"20907927",7.95527777777778,"cairngorms"
2021-05-30,"20907917",10.7852083333333,"cairngorms"
2021-05-30,"20907920",12.3846527777778,"cairngorms"
2021-05-30,"20907926",7.5775,"cairngorms"
2021-05-30,"20907927",9.41486111111111,"cairngorms"
2021-05-31,"20907917",11.0627083333333,"cairngorms"
2021-05-31,"20907920",12.5047916666667,"cairngorms"
2021-05-31,"20907926",8.25569444444444,"cairngorms"
2021-05-31,"20907927",9.98770833333333,"cairngorms"
2021-06-01,"20907917",11.0795833333333,"cairngorms"
2021-06-01,"20907920",13.1293055555556,"cairngorms"
2021-06-01,"20907926",8.67916666666667,"cairngorms"
2021-06-01,"20907927",10.2240972222222,"cairngorms"
2021-06-02,"20907917",11.785,"cairngorms"
2021-06-02,"20907920",13.4895138888889,"cairngorms"
2021-06-02,"20907926",8.95743055555556,"cairngorms"
2021-06-02,"20907927",10.4979861111111,"cairngorms"
2021-06-03,"20907917",10.7897222222222,"cairngorms"
2021-06-03,"20907920",11.5655555555556,"cairngorms"
2021-06-03,"20907926",8.61534722222222,"cairngorms"
2021-06-03,"20907927",9.96583333333333,"cairngorms"
2021-06-04,"20907917",9.64493055555556,"cairngorms"
2021-06-04,"20907920",10.0588888888889,"cairngorms"
2021-06-04,"20907926",8.14,"cairngorms"
2021-06-04,"20907927",9.20097222222222,"cairngorms"
2021-06-05,"20907917",10.4165277777778,"cairngorms"
2021-06-05,"20907920",11.8036805555556,"cairngorms"
2021-06-05,"20907926",8.15486111111111,"cairngorms"
2021-06-05,"20907927",9.56319444444444,"cairngorms"
2021-06-06,"20907917",11.3602777777778,"cairngorms"
2021-06-06,"20907920",13.5988194444444,"cairngorms"
2021-06-06,"20907926",8.36743055555556,"cairngorms"
2021-06-06,"20907927",10.3349305555556,"cairngorms"
2021-06-07,"20907917",10.3503472222222,"cairngorms"
2021-06-07,"20907920",11.8842361111111,"cairngorms"
2021-06-07,"20907926",8.0675,"cairngorms"
2021-06-07,"20907927",9.84291666666667,"cairngorms"
2021-06-08,"20907917",10.4140277777778,"cairngorms"
2021-06-08,"20907920",12.0327777777778,"cairngorms"
2021-06-08,"20907926",8.59770833333333,"cairngorms"
2021-06-08,"20907927",9.98104166666667,"cairngorms"
2021-06-09,"20907917",11.3263194444444,"cairngorms"
2021-06-09,"20907920",12.9649305555556,"cairngorms"
2021-06-09,"20907926",9.56611111111111,"cairngorms"
2021-06-09,"20907927",10.8796527777778,"cairngorms"
2021-06-10,"20907917",11.7486111111111,"cairngorms"
2021-06-10,"20907920",13.3429861111111,"cairngorms"
2021-06-10,"20907926",10.1492361111111,"cairngorms"
2021-06-10,"20907927",11.3683333333333,"cairngorms"
2021-06-11,"20907917",10.3147222222222,"cairngorms"
2021-06-11,"20907920",11.3117361111111,"cairngorms"
2021-06-11,"20907926",9.19166666666667,"cairngorms"
