#,Date-Time (GMT/BST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/08/2022 11:24:37,23.12,,,,
2,05/08/2022 11:34:37,19.22,,,,
3,05/08/2022 11:44:37,18.36,,,,
4,05/08/2022 11:54:37,18.06,,,,
5,05/08/2022 12:04:37,17.20,,,,
6,05/08/2022 12:14:37,14.50,,,,
7,05/08/2022 12:24:37,13.60,,,,
8,05/08/2022 12:34:37,13.51,,,,
9,05/08/2022 12:44:37,13.47,,,,
10,05/08/2022 12:54:37,13.17,,,,
11,05/08/2022 13:04:37,13.38,,,,
12,05/08/2022 13:14:37,13.04,,,,
13,05/08/2022 13:24:37,12.31,,,,
14,05/08/2022 13:34:37,12.35,,,,
15,05/08/2022 13:44:37,12.27,,,,
16,05/08/2022 13:54:37,12.14,,,,
17,05/08/2022 14:04:37,12.14,,,,
18,05/08/2022 14:14:37,11.92,,,,
19,05/08/2022 14:24:37,11.84,,,,
20,05/08/2022 14:34:37,12.01,,,,
21,05/08/2022 14:44:37,12.18,,,,
22,05/08/2022 14:54:37,12.14,,,,
23,05/08/2022 15:04:37,12.70,,,,
24,05/08/2022 15:14:37,13.51,,,,
25,05/08/2022 15:24:37,13.73,,,,
26,05/08/2022 15:34:37,13.51,,,,
27,05/08/2022 15:44:37,13.81,,,,
28,05/08/2022 15:54:37,14.20,,,,
29,05/08/2022 16:04:37,14.58,,,,
30,05/08/2022 16:14:37,14.63,,,,
31,05/08/2022 16:24:37,14.37,,,,
32,05/08/2022 16:34:37,13.94,,,,
33,05/08/2022 16:44:37,13.90,,,,
34,05/08/2022 16:54:37,13.85,,,,
35,05/08/2022 17:04:37,13.73,,,,
36,05/08/2022 17:14:37,13.64,,,,
37,05/08/2022 17:24:37,13.51,,,,
38,05/08/2022 17:34:37,13.51,,,,
39,05/08/2022 17:44:37,13.34,,,,
40,05/08/2022 17:54:37,13.17,,,,
41,05/08/2022 18:04:37,12.74,,,,
42,05/08/2022 18:14:37,13.00,,,,
43,05/08/2022 18:24:37,13.04,,,,
44,05/08/2022 18:34:37,12.82,,,,
45,05/08/2022 18:44:37,12.87,,,,
46,05/08/2022 18:54:37,12.48,,,,
47,05/08/2022 19:04:37,11.88,,,,
48,05/08/2022 19:14:37,11.62,,,,
49,05/08/2022 19:24:37,11.41,,,,
50,05/08/2022 19:34:37,11.28,,,,
51,05/08/2022 19:44:37,11.11,,,,
52,05/08/2022 19:54:37,11.02,,,,
53,05/08/2022 20:04:37,10.89,,,,
54,05/08/2022 20:14:37,10.77,,,,
55,05/08/2022 20:24:37,10.59,,,,
56,05/08/2022 20:34:37,10.42,,,,
57,05/08/2022 20:44:37,10.25,,,,
58,05/08/2022 20:54:37,10.12,,,,
59,05/08/2022 21:04:37,9.99,,,,
60,05/08/2022 21:14:37,9.78,,,,
61,05/08/2022 21:24:37,9.65,,,,
62,05/08/2022 21:34:37,9.52,,,,
63,05/08/2022 21:44:37,9.48,,,,
64,05/08/2022 21:54:37,9.39,,,,
65,05/08/2022 22:04:37,9.26,,,,
66,05/08/2022 22:14:37,9.26,,,,
67,05/08/2022 22:24:37,9.14,,,,
68,05/08/2022 22:34:37,9.14,,,,
69,05/08/2022 22:44:37,9.05,,,,
70,05/08/2022 22:54:37,9.01,,,,
71,05/08/2022 23:04:37,9.01,,,,
72,05/08/2022 23:14:37,9.01,,,,
73,05/08/2022 23:24:37,8.96,,,,
74,05/08/2022 23:34:37,8.96,,,,
75,05/08/2022 23:44:37,8.92,,,,
76,05/08/2022 23:54:37,8.88,,,,
77,05/09/2022 00:04:37,8.83,,,,
78,05/09/2022 00:14:37,8.79,,,,
79,05/09/2022 00:24:37,8.83,,,,
80,05/09/2022 00:34:37,8.79,,,,
81,05/09/2022 00:44:37,8.71,,,,
82,05/09/2022 00:54:37,8.71,,,,
83,05/09/2022 01:04:37,8.71,,,,
84,05/09/2022 01:14:37,8.62,,,,
85,05/09/2022 01:24:37,8.62,,,,
86,05/09/2022 01:34:37,8.62,,,,
87,05/09/2022 01:44:37,8.62,,,,
88,05/09/2022 01:54:37,8.66,,,,
89,05/09/2022 02:04:37,8.62,,,,
90,05/09/2022 02:14:37,8.53,,,,
91,05/09/2022 02:24:37,8.58,,,,
92,05/09/2022 02:34:37,8.53,,,,
93,05/09/2022 02:44:37,8.49,,,,
94,05/09/2022 02:54:37,8.53,,,,
95,05/09/2022 03:04:37,8.49,,,,
96,05/09/2022 03:14:37,8.45,,,,
97,05/09/2022 03:24:37,8.49,,,,
98,05/09/2022 03:34:37,8.49,,,,
99,05/09/2022 03:44:37,8.45,,,,
100,05/09/2022 03:54:37,8.49,,,,
101,05/09/2022 04:04:37,8.45,,,,
102,05/09/2022 04:14:37,8.45,,,,
103,05/09/2022 04:24:37,8.41,,,,
104,05/09/2022 04:34:37,8.45,,,,
105,05/09/2022 04:44:37,8.41,,,,
106,05/09/2022 04:54:37,8.41,,,,
107,05/09/2022 05:04:37,8.45,,,,
108,05/09/2022 05:14:37,8.45,,,,
109,05/09/2022 05:24:37,8.45,,,,
110,05/09/2022 05:34:37,8.41,,,,
111,05/09/2022 05:44:37,8.41,,,,
112,05/09/2022 05:54:37,8.45,,,,
113,05/09/2022 06:04:37,8.45,,,,
114,05/09/2022 06:14:37,8.49,,,,
115,05/09/2022 06:24:37,8.45,,,,
116,05/09/2022 06:34:37,8.45,,,,
117,05/09/2022 06:44:37,8.45,,,,
118,05/09/2022 06:54:37,8.49,,,,
119,05/09/2022 07:04:37,8.49,,,,
120,05/09/2022 07:14:37,8.58,,,,
121,05/09/2022 07:24:37,8.53,,,,
122,05/09/2022 07:34:37,8.53,,,,
123,05/09/2022 07:44:37,8.58,,,,
124,05/09/2022 07:54:37,8.62,,,,
125,05/09/2022 08:04:37,8.66,,,,
126,05/09/2022 08:14:37,8.75,,,,
127,05/09/2022 08:24:37,8.75,,,,
128,05/09/2022 08:34:37,8.79,,,,
129,05/09/2022 08:44:37,8.79,,,,
130,05/09/2022 08:54:37,8.88,,,,
131,05/09/2022 09:04:37,8.88,,,,
132,05/09/2022 09:14:37,8.83,,,,
133,05/09/2022 09:24:37,8.92,,,,
134,05/09/2022 09:34:37,8.92,,,,
135,05/09/2022 09:44:37,8.88,,,,
136,05/09/2022 09:54:37,8.83,,,,
137,05/09/2022 10:04:37,8.83,,,,
138,05/09/2022 10:14:37,9.14,,,,
139,05/09/2022 10:24:37,9.39,,,,
140,05/09/2022 10:34:37,9.52,,,,
141,05/09/2022 10:44:37,9.65,,,,
142,05/09/2022 10:54:37,9.69,,,,
143,05/09/2022 11:04:37,9.61,,,,
144,05/09/2022 11:14:37,9.56,,,,
145,05/09/2022 11:24:37,9.48,,,,
